,temp_6,temp_3,temp_5,temp_2,temp_4,temp_7,temp_1,temp_0,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,freezing rain,thunderstorm with drizzle,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,fog_1,haze_2,heavy snow_3,proximity thunderstorm with rain_0,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,heavy intensity rain_1,very heavy rain_0,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,snow_1,haze_8,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,light rain and snow_0,shower drizzle_0,haze_6,scattered clouds_4,heavy intensity drizzle_1,SQUALLS_0,mist_7,sleet_0,thunderstorm with drizzle_0,proximity thunderstorm with rain_1,thunderstorm with rain_1,few clouds_3,freezing rain_0,snow_2,drizzle_2,light intensity drizzle_1,proximity thunderstorm_3,proximity shower rain_1,heavy intensity rain_3,light rain_3,shower snow_0,sky is clear_1,traffic_volume_2,traffic_volume_0,traffic_volume_1
temp_6,2.5,0.07,1.2,0.0,0.48,2.29,0.0,0.0,1.12,1.01,0.76,1.08,1.27,1.39,1.17,0.0,1.67,1.51,0.77,1.16,0.78,2.35,0.92,0.0,2.13,0.0,1.9,2.26,1.02,2.97,2.48,1.99,3.0,2.99,3.33,2.35,1.71,1.93,0.0,0.0,0.0,3.18,0.0,0.0,2.06,0.0,1.16,1.01,1.11,1.4,1.13,1.52,0.92,0.24,0.7,1.25,1.16,0.78,1.61,1.21,0.0,1.41,1.3,0.79,0.15,0.84,0.92,0.65,0.95,2.39,1.06,1.56,2.13,1.23,0.0,0.0,0.57,0.0,0.0,1.34,0.0,0.0,0.28,1.58,0.81,0.48,1.9,0.0,2.26,0.0,2.37,0.0,2.97,0.0,0.38,1.02,2.48,0.36,0.71,0.0,2.0,0.14,0.0,3.04,0.94,0.24,2.24,0.0,1.35,2.99,2.91,3.33,0.0,0.45,2.35,0.0,1.93,1.71,0.0,3.12,0.0,0.91,0.0,0.0,0.0,0.0,0.0,1.82,1.87,3.18,0.91,0.0,2.06,1.36,2.52,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0,1.01,0.96,1.0
temp_3,0.02,3.5,0.21,1.34,1.32,0.0,0.33,0.04,0.72,1.23,1.3,0.87,0.7,1.26,0.69,1.74,0.35,1.21,1.03,1.67,1.35,0.26,1.95,1.64,0.38,2.19,0.63,0.16,1.67,0.1,0.16,0.36,0.01,0.0,0.0,0.35,0.84,0.53,0.91,3.57,5.78,0.38,5.8,4.84,0.0,4.35,0.7,1.25,0.86,1.31,0.84,1.22,1.16,1.62,1.42,0.7,1.67,1.04,0.91,0.71,2.01,0.54,0.69,1.32,2.12,1.18,1.35,1.07,1.96,0.25,0.68,0.59,0.38,0.69,1.77,1.18,2.05,0.78,1.34,1.06,2.21,0.46,2.24,0.89,2.66,0.76,0.63,1.59,0.16,0.0,0.25,1.61,0.1,1.35,1.95,1.71,0.16,1.82,0.79,0.44,0.37,1.48,1.68,0.0,0.45,2.18,0.0,2.25,1.06,0.0,0.0,0.0,0.0,0.92,0.35,0.0,0.53,0.84,1.0,0.0,0.91,2.32,6.09,0.0,5.78,3.57,6.09,0.0,0.0,0.38,0.0,5.8,0.0,0.0,0.16,0.0,4.84,0.0,6.09,0.0,0.0,0.0,0.0,0.0,4.35,0.0,1.02,1.0,1.0
temp_5,1.59,0.27,2.72,0.03,1.11,1.01,0.0,0.0,1.03,1.03,0.89,1.0,1.11,1.39,1.04,0.0,1.34,1.6,0.87,1.4,0.93,1.63,1.43,0.0,1.84,0.0,1.66,1.93,1.69,1.7,1.9,2.61,1.49,1.74,0.6,2.83,2.07,2.62,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.05,1.05,0.99,1.4,1.02,1.61,1.0,0.73,0.95,1.05,1.4,0.87,1.6,1.05,0.01,1.37,1.04,0.94,0.33,1.04,1.08,0.48,1.45,1.61,0.99,1.31,1.84,0.99,0.0,0.0,0.7,0.0,0.54,0.97,0.0,0.0,0.0,1.67,0.65,0.99,1.66,0.46,1.93,0.0,1.96,0.0,1.7,0.0,0.82,1.67,1.9,0.76,0.73,0.0,2.68,0.0,0.0,1.6,1.01,0.0,0.81,0.0,0.71,1.74,1.71,0.6,0.0,3.02,2.83,0.0,2.62,2.07,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.77,1.02,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,1.03,1.04,1.02
temp_2,0.0,1.54,0.02,4.23,0.25,0.0,1.78,0.34,0.81,1.1,1.34,0.95,0.74,0.37,0.71,2.6,0.19,0.18,1.35,0.24,1.58,0.14,0.1,3.26,0.01,3.06,0.11,0.0,0.02,0.03,0.04,0.0,0.0,0.0,0.23,0.0,0.0,0.0,2.07,2.25,0.38,0.0,0.36,1.54,0.0,2.13,0.77,1.1,0.95,0.34,0.85,0.16,1.15,1.83,1.34,0.85,0.24,1.35,0.31,0.62,2.52,0.32,0.71,1.57,2.15,1.33,1.18,1.42,0.09,0.14,0.81,0.34,0.01,0.5,3.29,2.83,1.45,2.57,2.45,1.05,3.06,2.03,1.4,0.47,1.13,1.69,0.11,3.27,0.0,2.54,0.06,2.99,0.03,2.91,0.2,0.02,0.04,2.36,1.73,4.4,0.0,2.68,1.71,0.0,1.51,2.23,0.0,1.64,0.93,0.0,0.0,0.23,5.8,0.0,0.0,6.75,0.0,0.0,3.22,0.0,2.07,0.0,0.0,0.0,0.38,2.25,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,1.54,7.47,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.98,1.05,1.01
temp_4,0.43,1.12,1.48,0.32,3.81,0.07,0.03,0.0,0.96,0.94,1.14,1.01,0.95,1.2,0.98,0.1,0.98,1.33,0.72,1.66,0.67,0.68,2.02,0.08,1.3,0.08,1.15,0.51,2.01,0.57,0.49,0.6,0.26,0.7,0.0,0.0,1.56,0.36,0.0,0.0,0.0,1.56,0.0,0.0,4.62,0.0,0.96,0.95,1.03,1.17,0.99,1.34,1.13,1.6,1.16,0.9,1.66,0.72,1.11,0.97,0.11,1.12,1.02,0.67,1.09,1.03,0.87,0.58,1.95,0.65,0.97,0.42,1.3,1.3,0.06,0.02,1.21,0.07,0.0,1.41,0.01,0.0,0.64,0.86,0.4,0.61,1.15,1.25,0.51,0.0,0.59,0.24,0.57,1.39,3.75,1.98,0.49,1.14,0.63,0.0,0.46,2.35,0.0,0.0,0.56,0.0,0.81,0.0,2.2,0.7,0.55,0.0,0.0,1.48,0.0,0.0,0.36,1.56,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,1.56,0.69,0.0,4.62,5.89,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.01,1.0
temp_7,2.26,0.0,1.2,0.0,0.21,4.04,0.0,0.0,1.25,0.88,0.54,1.11,1.44,0.95,1.42,0.0,2.65,0.67,0.63,0.47,1.02,1.57,0.19,0.0,0.83,0.0,1.24,1.83,0.2,0.89,1.43,0.77,1.72,0.84,1.82,0.5,0.23,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1.37,0.75,1.17,0.95,1.14,0.67,0.68,0.13,0.45,1.34,0.47,0.61,1.02,1.46,0.0,1.73,1.53,1.05,0.0,0.97,1.24,0.83,0.2,1.59,1.27,2.2,0.83,2.07,0.0,0.0,0.75,0.0,0.0,1.09,0.0,0.0,0.22,0.92,0.84,0.53,1.24,0.07,1.83,0.0,1.24,0.0,0.89,0.0,0.0,0.19,1.43,0.07,0.36,0.0,0.78,0.38,0.0,1.81,0.0,0.3,3.59,0.0,0.74,0.84,1.19,1.82,0.0,0.95,0.5,0.0,0.86,0.23,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,1.31,0.0,6.62,0.0,0.66,0.41,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.85,0.93
temp_1,0.0,0.28,0.0,1.92,0.01,0.0,6.64,3.52,1.0,0.88,1.09,1.0,0.8,0.18,1.09,2.9,0.07,0.1,1.65,0.05,0.96,0.01,0.02,2.96,0.07,2.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,6.83,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.93,0.17,1.07,0.09,1.05,1.02,1.04,0.91,0.05,1.67,0.15,1.06,2.55,0.41,0.8,0.98,1.02,0.83,0.4,1.71,0.02,0.01,1.32,0.37,0.07,0.59,2.8,3.38,0.37,4.3,2.42,0.06,2.22,5.84,3.56,0.27,0.32,1.44,0.01,0.82,0.0,8.0,0.0,3.14,0.0,2.69,0.0,0.0,0.0,0.62,1.62,3.53,0.0,0.62,5.33,0.0,3.16,3.25,0.0,3.98,0.0,0.0,0.0,0.94,2.71,0.0,0.0,1.17,0.0,0.0,2.71,0.0,6.83,4.32,0.0,12.11,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.05,1.02
temp_0,0.0,0.09,0.0,0.23,0.0,0.0,2.98,12.64,1.43,0.45,0.76,1.0,0.92,0.08,1.09,2.18,0.02,0.02,1.57,0.0,0.17,0.02,0.0,0.77,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.46,0.93,0.07,1.02,0.01,0.63,0.7,0.62,0.97,0.0,1.48,0.09,1.05,2.08,0.85,0.78,0.17,1.3,0.33,0.24,2.74,0.0,0.02,1.35,1.05,0.0,0.34,0.59,2.8,0.0,3.18,3.17,0.0,0.81,3.28,0.0,0.23,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.92,0.0,0.0,1.06,0.0,1.15,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,1.08,1.04
sky is clear,1.11,0.86,1.14,0.95,1.14,1.18,1.22,1.69,1.7,0.42,0.59,0.9,1.27,0.41,1.31,0.5,0.53,0.25,0.69,0.24,0.4,0.41,0.11,0.28,0.22,0.13,0.46,0.35,0.07,0.26,0.29,0.21,0.38,0.74,0.19,0.04,0.04,0.05,0.79,0.04,0.0,0.43,0.0,0.0,0.0,1.18,1.59,0.36,1.01,0.38,0.63,0.24,0.65,0.48,0.46,1.31,0.24,0.66,0.44,1.12,0.38,1.16,1.32,0.4,0.34,0.5,0.56,0.51,0.12,0.41,1.58,1.16,0.22,0.76,0.2,0.53,0.35,0.78,0.31,0.09,0.13,0.51,0.05,0.25,0.37,0.75,0.46,0.12,0.35,0.18,0.52,0.49,0.26,0.11,0.02,0.07,0.29,0.54,0.88,0.22,0.21,0.42,0.64,0.4,1.08,0.43,0.63,0.28,0.48,0.74,0.22,0.19,0.21,0.0,0.04,0.0,0.05,0.04,0.07,0.89,0.79,0.49,0.0,1.55,0.0,0.04,0.39,0.0,0.43,0.43,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,1.0,0.97,1.01
mist,0.84,1.2,0.86,1.17,0.83,0.72,0.83,0.38,0.61,2.06,0.91,0.66,0.56,1.39,0.42,1.61,0.28,1.63,1.83,1.82,2.57,1.48,2.04,1.86,1.82,2.33,1.24,1.52,2.54,1.94,1.74,1.67,1.56,0.26,1.36,2.03,2.08,1.36,1.12,2.1,2.22,0.68,1.79,2.62,3.06,1.16,0.58,2.02,0.64,1.53,0.58,1.66,0.94,0.77,0.83,0.57,1.82,1.9,0.92,0.38,1.92,0.4,0.55,2.56,0.35,2.26,2.77,0.57,2.04,1.51,0.47,0.37,1.86,0.1,2.03,1.41,3.23,0.9,0.1,0.39,2.34,0.66,0.27,0.65,3.67,1.54,1.24,4.91,1.52,0.35,1.25,1.28,1.94,0.0,2.07,2.52,1.74,2.75,0.88,1.06,1.63,4.67,1.0,1.51,0.97,1.81,1.35,1.0,3.08,0.26,0.92,1.36,2.79,0.89,2.03,1.83,1.36,2.08,1.89,1.16,1.12,1.93,0.0,0.0,2.22,2.1,1.93,0.0,3.2,0.68,0.68,1.79,3.06,3.04,2.29,0.0,2.62,0.0,0.0,0.0,2.03,0.0,8.1,0.0,1.16,0.0,0.98,1.12,1.03
