,temp_6,temp_3,temp_5,temp_2,temp_4,temp_7,temp_1,temp_0,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,freezing rain,thunderstorm with drizzle,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,fog_1,haze_2,heavy snow_3,proximity thunderstorm with rain_0,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,heavy intensity rain_1,very heavy rain_0,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,snow_1,haze_8,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,light rain and snow_0,shower drizzle_0,haze_6,scattered clouds_4,heavy intensity drizzle_1,SQUALLS_0,mist_7,sleet_0,thunderstorm with drizzle_0,proximity thunderstorm with rain_1,thunderstorm with rain_1,few clouds_3,freezing rain_0,snow_2,drizzle_2,light intensity drizzle_1,proximity thunderstorm_3,proximity shower rain_1,heavy intensity rain_3,light rain_3,shower snow_0,sky is clear_1,traffic_volume_2,traffic_volume_0,traffic_volume_1
temp_6,1.5,0.26,0.92,0,0.65,1.21,0,0,1.12,1.09,0.9,1.12,1.17,1.33,1.0,0,0.74,1.29,0.86,1.1,0.76,1.35,0.92,0,1.37,0,0.86,1.15,0.79,1.06,0.94,0.82,0.99,0.45,0.87,0.85,0.84,0.56,0,0,0,0.65,0,0,0.97,0,1.15,1.1,1.1,1.34,0.83,1.31,0.99,0.33,0.6,1.13,1.1,0.87,0.93,0.83,0,0.76,0.83,0.77,0.26,0.71,0.65,0.4,0.93,1.37,0.89,0.61,1.38,0.54,0,0,0.39,0,0,0.52,0,0,0.14,0.46,0.35,0.44,0.87,0.0,1.15,0,0.81,0,1.06,0,0.27,0.8,0.94,0.08,0.39,0,0.83,0.05,0,0.97,0.38,0,0.4,0,0.36,0.45,0.69,0.87,0,0.08,0.85,0,0.56,0.84,0,0.39,0,0.31,0,0,0,0,0,0.0,0.34,0.65,0.08,0,0.97,0.2,0.7,0.0,0,0,0,0,0.28,0.0,0.0,0.0,0,0.0,1.19,1.09,1.34
temp_3,0.0,1.57,0.23,0.82,0.95,0,0.47,0.15,0.92,1.22,1.17,1.02,0.86,1.32,0.76,1.05,0.45,1.25,1.02,1.36,0.97,0.6,1.33,0.81,0.8,1.12,0.54,0.32,1.08,0.33,0.47,0.59,0,0,0,0.37,0.0,0.0,0.38,0.74,1.05,0.0,1.08,1.0,0.0,0.0,0.92,1.24,0.99,1.36,0.7,1.27,1.08,0.78,0.86,0.84,1.36,1.04,0.77,0.62,1.13,0.46,0.61,0.96,0.67,0.83,0.77,0.5,1.35,0.6,0.71,0.38,0.82,0.35,0.85,0.67,0.76,0.48,0.4,0.44,1.13,0.29,0.49,0.4,0.61,0.5,0.54,0.4,0.32,0.0,0.31,0.67,0.33,0.33,0.63,1.09,0.47,0.56,0.36,0.2,0.6,0.27,0.44,0,0.0,0.33,0,0.48,0.56,0,0,0,0,0.25,0.37,0,0.0,0.0,0.29,0,0.38,0.33,0.28,0,1.05,0.74,0.49,0,0,0.0,0,1.08,0.0,0,0,0,1.0,0,0.0,0,0,0,0,0,0.0,0,1.17,1.13,1.31
temp_5,1.19,0.49,1.55,0.24,0.82,0.45,0,0,1.12,1.14,0.96,1.0,1.05,1.33,0.87,0.07,0.74,1.32,0.9,1.17,0.83,1.18,1.07,0,1.34,0,0.89,1.22,0.85,0.98,0.99,1.08,0.63,0.43,0.47,1.02,0.82,0.73,0,0,0,0.14,0,0,0,0,1.14,1.15,0.98,1.36,0.72,1.33,0.98,0.54,0.74,0.99,1.17,0.91,0.95,0.73,0.0,0.72,0.72,0.83,0.27,0.82,0.81,0.38,1.07,1.18,0.78,0.49,1.35,0.52,0,0.0,0.46,0,0.31,0.43,0,0,0.0,0.64,0.27,0.58,0.89,0.23,1.22,0,0.69,0,0.98,0,0.52,0.84,0.99,0.64,0.31,0,1.09,0,0,0.64,0.22,0,0.22,0,0.19,0.43,0.42,0.47,0,0.63,1.02,0,0.73,0.82,0,0.0,0,0.0,0,0,0,0,0,0.0,0.4,0.14,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1.07,1.28,1.38
temp_2,0,0.98,0.02,1.66,0.23,0,0.85,0.35,1.0,1.21,1.22,1.04,0.91,0.74,0.74,1.27,0.36,0.44,1.1,0.68,1.12,0.42,0.27,1.13,0.0,1.38,0.17,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.51,0.59,0,0,0,0.51,0,0.18,0.99,1.2,1.03,0.75,0.62,0.43,1.06,0.84,0.88,0.96,0.68,1.11,0.42,0.59,1.28,0.41,0.62,1.14,0.72,0.94,0.75,0.63,0.2,0.45,0.71,0.23,0.0,0.36,1.17,1.04,0.67,0.69,0.54,0.42,1.38,0.52,0.37,0.3,0.4,0.7,0.17,0.62,0,0.4,0.08,0.76,0,0.38,0.0,0.0,0.0,0.56,0.32,0.62,0,0.4,0.38,0,0.39,0.39,0,0.29,0.25,0,0,0.0,0.63,0,0,0.48,0,0,0.62,0,0.51,0.0,0,0.0,0,0.59,0.0,0,0,0,0,0,0,0,0,0,0.51,0.0,0,0,0,0,0,0,0.18,0,1.12,1.26,1.38
temp_4,0.35,0.83,1.14,0.52,1.68,0.04,0.06,0,1.09,1.13,1.16,1.11,1.06,1.26,0.85,0.29,0.63,1.27,0.85,1.32,0.75,0.9,1.32,0.15,1.2,0.15,0.76,0.59,0.93,0.68,0.63,0.53,0.38,0.24,0,0.0,0.71,0.09,0,0,0,0.0,0,0,0.83,0,1.1,1.15,1.11,1.25,0.78,1.29,1.1,0.84,0.82,0.99,1.32,0.87,0.82,0.69,0.33,0.78,0.8,0.75,0.55,0.87,0.61,0.38,1.29,0.89,0.75,0.29,1.2,0.58,0.13,0.06,0.62,0.06,0.0,0.56,0.0,0,0.3,0.34,0.24,0.35,0.76,0.52,0.59,0,0.44,0.0,0.68,0.27,0.89,0.93,0.63,0.51,0.32,0,0.51,0.51,0,0,0.26,0,0.47,0,0.45,0.24,0.29,0,0,0.36,0.0,0,0.09,0.71,0.35,0,0,0,0.0,0,0,0,0,0,0.41,0.0,0.12,0,0.83,0.44,0.61,0,0,0,0,0.0,0,0,0,0,0,0,1.17,1.24,1.37
temp_7,1.29,0,0.94,0,0.37,1.76,0,0,1.27,0.86,0.87,1.33,1.46,1.0,1.1,0,1.06,0.72,0.8,0.67,0.87,0.9,0.36,0,0.52,0,0.77,0.78,0.16,0.38,0.6,0.36,0.5,0.36,0.46,0.32,0.09,0.42,0,0,0,0.0,0,0,0.13,0,1.35,0.78,1.37,1.0,0.94,0.72,0.93,0.34,0.67,1.29,0.67,0.79,0.72,0.87,0,1.01,1.11,0.91,0,0.88,0.64,0.52,0.36,0.88,1.03,0.84,0.51,0.69,0,0,0.4,0,0,0.4,0,0,0.2,0.34,0.29,0.55,0.77,0,0.78,0,0.5,0,0.38,0,0,0.16,0.6,0.0,0.22,0,0.37,0.0,0,0.53,0,0.0,0.62,0,0.15,0.36,0.17,0.46,0,0.35,0.32,0,0.42,0.09,0,0.42,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.13,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.53,0.56,1.03
temp_1,0,0.21,0,1.06,0.07,0,1.88,1.01,1.15,1.12,1.12,1.14,0.95,0.59,0.98,1.45,0.24,0.49,1.24,0.29,0.94,0.29,0.0,1.13,0.37,1.18,0,0,0,0,0,0,0,0,0.53,0,0,0,0.78,0.42,0,0,0,0,0,0,1.13,1.15,1.03,0.62,0.87,0.44,1.05,0.7,0.76,0.96,0.29,1.26,0.33,0.8,1.35,0.46,0.69,0.95,0.56,0.79,0.58,0.65,0.0,0.3,0.98,0.38,0.38,0.42,1.12,1.25,0.32,1.06,0.6,0.0,1.18,0.92,0.62,0.41,0.28,0.61,0,0.32,0,0.8,0,0.91,0,0.42,0,0,0,0.44,0.64,0.56,0,0.38,0.86,0,0.43,0.0,0,0.48,0,0,0,0.53,0.32,0,0,0.3,0,0,0.81,0,0.78,0.61,0,0.65,0,0.42,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,1.29,1.42
temp_0,0,0.31,0,0.2,0,0,1.2,2.15,1.49,0.81,0.98,1.2,1.15,0.33,1.04,1.2,0.16,0.0,1.18,0,0.4,0.07,0,0.48,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0.82,1.11,0.33,0.85,0.0,0.82,0.56,0.69,1.11,0,1.17,0.21,0.81,1.19,0.73,0.76,0.4,0.61,0.49,0.46,0.87,0,0.07,1.08,0.58,0,0.29,0.41,1.07,0,0.83,0.7,0,0.74,0.86,0,0,0,0.99,0,0,0,0.0,0,0.24,0,0,0,0,0,0,0.55,0.0,0,0,0.35,0,0.28,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1.48,1.53
sky is clear,0.96,0.76,0.94,0.77,0.87,0.91,0.78,0.77,1.4,0.58,0.67,0.92,1.13,0.62,1.01,0.52,0.46,0.41,0.72,0.43,0.45,0.49,0.26,0.27,0.38,0.2,0.33,0.29,0.13,0.33,0.27,0.16,0.27,0.27,0.28,0.14,0.0,0.11,0.14,0,0,0.33,0,0,0.0,0.0,1.37,0.54,0.97,0.61,0.53,0.41,0.69,0.37,0.42,1.1,0.43,0.72,0.45,0.76,0.46,0.67,0.8,0.46,0.27,0.49,0.4,0.33,0.27,0.49,1.05,0.5,0.38,0.36,0.21,0.39,0.21,0.4,0.21,0.1,0.21,0.45,0.07,0.14,0.14,0.43,0.33,0.08,0.29,0.05,0.27,0.33,0.33,0.0,0.07,0.08,0.27,0.22,0.35,0.18,0.16,0.15,0.21,0.29,0.34,0.11,0.2,0.11,0.2,0.27,0.0,0.28,0.16,0.0,0.14,0,0.11,0.0,0.0,0.0,0.14,0.07,0,0.0,0,0,0.0,0,0.0,0.33,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.06,1.06,1.26
mist,0.94,1.01,0.95,0.94,0.84,0.58,0.74,0.45,0.9,1.64,0.94,0.74,0.68,1.42,0.48,1.1,0.35,1.45,1.28,1.43,1.35,1.24,1.38,0.96,1.47,1.3,0.85,1.19,1.16,1.01,1.09,0.91,0.79,0.16,0.76,0.94,0.96,0.0,0.47,0.64,0.77,0.33,0.58,0.65,0.76,0.22,0.89,1.61,0.73,1.51,0.46,1.47,0.96,0.51,0.66,0.7,1.43,1.32,0.74,0.42,1.21,0.32,0.51,1.36,0.25,1.23,1.2,0.39,1.39,1.27,0.48,0.14,1.48,0.07,1.02,0.86,0.96,0.43,0.1,0.33,1.3,0.29,0.08,0.46,0.74,0.61,0.85,0.73,1.19,0.07,0.63,0.65,1.01,0,0.7,1.16,1.09,0.7,0.24,0.34,0.92,0.52,0.41,0.76,0.37,0.37,0.37,0.28,0.42,0.16,0.56,0.76,0.46,0.4,0.94,0.4,0.0,0.96,0.55,0.28,0.47,0.48,0,0.0,0.77,0.64,0.11,0.0,0.49,0.33,0.12,0.58,0.76,0.34,0.51,0,0.65,0.0,0.0,0,0.0,0,0,0,0.22,0,1.05,1.48,1.52
