,temp_6,temp_3,temp_5,temp_2,temp_4,temp_7,temp_1,temp_0,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,freezing rain,thunderstorm with drizzle,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,fog_1,haze_2,heavy snow_3,proximity thunderstorm with rain_0,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,heavy intensity rain_1,very heavy rain_0,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,snow_1,haze_8,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,light rain and snow_0,shower drizzle_0,haze_6,scattered clouds_4,heavy intensity drizzle_1,SQUALLS_0,mist_7,sleet_0,thunderstorm with drizzle_0,proximity thunderstorm with rain_1,thunderstorm with rain_1,few clouds_3,freezing rain_0,snow_2,drizzle_2,light intensity drizzle_1,proximity thunderstorm_3,proximity shower rain_1,heavy intensity rain_3,light rain_3,shower snow_0,sky is clear_1,traffic_volume_2,traffic_volume_0,traffic_volume_1
temp_6,3.1,0.01,1.09,0.0,0.28,2.1,0.0,0.0,1.08,1.01,0.71,1.08,1.29,1.46,1.21,0.0,1.5,1.6,0.76,1.2,0.8,2.61,0.91,0.0,2.36,0.0,2.07,2.63,1.13,2.99,2.68,1.96,3.59,2.89,3.83,2.16,1.79,1.95,0.0,0.0,0.0,4.0,0.0,0.0,2.53,0.0,1.12,1.02,1.11,1.43,1.17,1.61,0.97,0.24,0.62,1.26,1.2,0.77,1.73,1.28,0.0,1.41,1.29,0.81,0.19,0.84,0.97,0.61,0.95,2.67,1.09,1.58,2.35,1.23,0.0,0.0,0.6,0.0,0.0,1.29,0.0,0.0,0.2,1.62,0.89,0.57,2.07,0.0,2.63,0.0,2.4,0.0,2.99,0.0,0.26,1.15,2.68,0.04,0.9,0.0,1.97,0.09,0.0,3.66,1.42,0.0,1.87,0.0,1.19,2.89,3.6,3.83,0.0,0.23,2.16,0.0,1.95,1.79,0.0,2.73,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,1.75,4.0,0.91,0.0,2.53,1.49,2.61,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0,1.05,0.95,1.04
temp_3,0.0,4.26,0.06,1.0,1.12,0.0,0.15,0.03,0.67,1.32,1.34,0.85,0.64,1.36,0.7,1.72,0.38,1.28,1.01,1.83,1.46,0.26,2.08,1.73,0.36,2.2,0.56,0.08,1.63,0.14,0.23,0.39,0.0,0.0,0.0,0.35,0.69,0.48,1.47,4.03,6.09,0.61,6.09,4.45,0.0,2.03,0.65,1.34,0.85,1.44,0.79,1.28,1.15,1.63,1.38,0.65,1.83,1.03,0.98,0.72,2.05,0.48,0.65,1.42,2.1,1.17,1.42,0.99,2.1,0.25,0.68,0.51,0.36,0.55,1.86,1.09,2.03,0.9,1.38,1.09,2.23,0.42,2.49,0.95,2.67,0.7,0.56,1.58,0.08,0.0,0.3,1.74,0.14,1.2,1.86,1.68,0.23,1.97,0.8,0.44,0.4,1.96,1.57,0.0,0.55,2.23,0.0,2.15,1.15,0.0,0.0,0.0,0.0,0.89,0.35,0.0,0.48,0.69,1.06,0.0,1.47,2.29,6.09,0.0,6.09,4.03,6.09,0.0,0.0,0.61,0.0,6.09,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,1.02,0.98,0.99
temp_5,1.4,0.14,3.53,0.01,1.01,0.31,0.0,0.0,1.03,1.13,0.86,0.87,1.01,1.43,0.94,0.0,1.39,1.64,0.84,1.34,1.06,1.55,1.38,0.0,1.83,0.0,1.57,2.01,1.67,1.9,1.76,2.95,1.31,1.89,0.28,3.21,2.1,2.85,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,1.05,1.14,0.89,1.44,0.89,1.65,0.98,0.7,0.98,1.0,1.34,0.84,1.57,0.97,0.0,1.08,0.96,1.06,0.29,1.16,1.35,0.45,1.41,1.54,0.89,0.91,1.84,1.09,0.0,0.0,0.69,0.0,0.51,1.1,0.0,0.0,0.0,1.66,0.65,0.86,1.57,0.43,2.01,0.0,1.84,0.0,1.9,0.0,0.92,1.63,1.76,0.75,0.81,0.0,3.01,0.0,0.0,1.41,0.56,0.0,0.56,0.0,0.53,1.89,1.48,0.28,0.0,3.44,3.21,0.0,2.85,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.41,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.17,1.04
temp_2,0.0,1.17,0.0,5.17,0.07,0.0,1.35,0.1,0.8,1.2,1.43,0.93,0.69,0.3,0.67,2.62,0.19,0.1,1.49,0.15,1.74,0.09,0.04,3.41,0.0,3.38,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.8,1.76,0.0,0.0,0.0,2.02,0.0,4.98,0.74,1.17,0.95,0.28,0.73,0.08,1.15,1.82,1.41,0.87,0.15,1.48,0.26,0.59,2.54,0.27,0.66,1.75,2.18,1.4,1.14,1.48,0.02,0.09,0.8,0.2,0.0,0.5,3.45,2.87,1.65,2.46,2.36,0.84,3.37,2.02,1.36,0.44,1.21,1.82,0.04,3.44,0.0,2.29,0.02,3.1,0.0,3.17,0.15,0.0,0.03,2.24,1.13,4.51,0.0,2.41,1.33,0.0,1.65,3.65,0.0,1.76,0.97,0.0,0.0,0.1,6.2,0.0,0.0,6.54,0.0,0.0,3.69,0.0,1.8,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.91,1.15,1.05
temp_4,0.13,0.92,1.31,0.16,4.89,0.0,0.0,0.0,0.97,0.99,1.17,0.99,0.93,1.2,0.93,0.07,0.98,1.35,0.65,1.71,0.7,0.61,2.1,0.03,1.33,0.04,1.01,0.28,2.06,0.53,0.62,0.53,0.29,0.49,0.0,0.0,1.75,0.08,0.0,0.0,0.0,0.83,0.0,0.0,4.16,0.0,0.97,1.01,1.02,1.18,0.99,1.36,1.15,1.63,1.14,0.88,1.71,0.66,1.03,0.92,0.09,1.18,1.01,0.69,1.04,1.06,0.81,0.55,1.99,0.58,0.86,0.46,1.34,1.28,0.03,0.01,1.24,0.01,0.0,1.54,0.0,0.0,0.57,0.78,0.41,0.45,1.01,1.0,0.28,0.0,0.58,0.05,0.53,1.13,3.97,2.02,0.62,1.53,0.71,0.0,0.42,2.26,0.0,0.0,0.54,0.0,0.66,0.0,2.89,0.49,0.55,0.0,0.0,0.87,0.0,0.0,0.08,1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.83,1.39,0.0,4.16,6.05,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.08,0.99
temp_7,1.87,0.0,0.55,0.0,0.03,5.6,0.0,0.0,1.35,0.42,0.52,1.35,1.84,0.77,1.6,0.0,2.82,0.47,0.58,0.34,0.46,1.37,0.08,0.0,0.44,0.0,1.44,1.42,0.04,0.56,1.04,0.32,0.92,1.02,1.38,0.24,0.05,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.49,0.35,1.43,0.72,1.43,0.46,0.69,0.14,0.58,1.57,0.34,0.56,0.95,1.55,0.0,2.31,1.95,0.47,0.0,0.6,0.63,1.0,0.08,1.32,1.52,3.04,0.42,2.23,0.0,0.0,0.38,0.0,0.0,1.06,0.0,0.0,0.23,0.9,0.39,0.68,1.44,0.0,1.42,0.0,1.38,0.0,0.56,0.0,0.0,0.05,1.04,0.0,0.2,0.0,0.32,0.0,0.0,0.99,0.0,0.0,4.83,0.0,0.29,1.02,0.33,1.38,0.0,1.45,0.24,0.0,0.88,0.05,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.32,0.74
temp_1,0.0,0.05,0.0,1.46,0.0,0.0,8.2,2.5,1.01,0.87,1.06,1.03,0.7,0.14,1.06,3.1,0.06,0.07,1.74,0.02,0.85,0.02,0.0,2.79,0.06,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,6.26,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.91,0.89,0.14,1.1,0.05,1.0,1.07,0.95,0.84,0.02,1.75,0.12,1.11,2.6,0.37,0.66,0.86,1.07,0.88,0.53,1.72,0.0,0.02,1.21,0.42,0.06,0.59,2.55,3.57,0.46,4.47,2.59,0.0,1.87,6.47,3.41,0.41,0.51,1.48,0.0,1.09,0.0,8.4,0.0,3.33,0.0,2.93,0.0,0.0,0.0,0.74,2.15,3.71,0.0,0.82,6.15,0.0,2.67,1.77,0.0,3.8,0.0,0.0,0.0,1.2,2.07,0.0,0.0,1.51,0.0,0.0,2.58,0.0,6.26,5.04,0.0,12.11,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.11,1.05
temp_0,0.0,0.06,0.0,0.04,0.0,0.0,2.26,14.91,1.6,0.37,0.74,1.05,0.92,0.05,1.14,1.95,0.03,0.0,1.49,0.0,0.16,0.01,0.0,0.48,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.38,0.9,0.05,1.14,0.0,0.56,0.58,0.72,0.96,0.0,1.41,0.04,0.99,1.87,0.87,0.8,0.17,1.34,0.3,0.23,2.82,0.0,0.01,1.52,1.08,0.0,0.25,0.36,2.71,0.0,2.93,3.09,0.0,0.55,2.43,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.35,0.0,0.0,1.09,0.0,1.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.26,1.08
sky is clear,1.08,0.79,1.12,0.91,1.14,1.26,1.2,1.8,2.12,0.27,0.44,0.8,1.25,0.27,1.35,0.3,0.47,0.13,0.54,0.14,0.26,0.31,0.05,0.13,0.13,0.05,0.23,0.2,0.01,0.2,0.2,0.06,0.2,0.49,0.19,0.06,0.0,0.08,0.14,0.0,0.0,0.55,0.0,0.0,0.0,0.0,1.95,0.21,0.95,0.25,0.5,0.13,0.55,0.3,0.34,1.35,0.14,0.51,0.33,1.1,0.22,1.01,1.23,0.26,0.19,0.4,0.41,0.35,0.05,0.29,1.76,0.95,0.14,0.6,0.08,0.34,0.2,0.52,0.17,0.04,0.05,0.37,0.06,0.13,0.19,0.65,0.23,0.08,0.2,0.03,0.42,0.31,0.2,0.13,0.02,0.01,0.2,0.29,0.65,0.11,0.06,0.21,0.23,0.22,0.81,0.4,0.54,0.16,0.24,0.49,0.09,0.19,0.2,0.0,0.06,0.0,0.08,0.0,0.0,0.38,0.14,0.17,0.0,0.38,0.0,0.0,0.92,0.0,0.17,0.55,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.01,1.04
mist,0.84,1.29,0.97,1.27,0.86,0.41,0.86,0.35,0.46,2.51,0.68,0.39,0.33,1.45,0.24,1.75,0.22,1.7,2.06,1.87,3.08,1.46,2.17,2.08,1.94,2.56,1.2,1.5,2.68,1.94,1.82,1.77,1.64,0.36,1.72,2.16,2.08,1.36,0.98,2.5,2.03,1.08,1.68,2.19,3.18,2.7,0.44,2.35,0.42,1.66,0.31,1.75,0.82,0.49,0.63,0.39,1.87,2.16,0.73,0.24,2.18,0.16,0.33,3.08,0.21,2.81,3.61,0.36,2.17,1.51,0.29,0.07,1.99,0.03,2.31,1.55,4.25,0.65,0.07,0.33,2.57,0.44,0.04,0.58,4.92,1.47,1.2,5.79,1.5,0.07,0.91,1.51,1.94,0.0,2.23,2.66,1.82,3.22,0.75,1.17,1.73,6.04,1.24,1.59,0.95,1.19,0.64,0.95,2.94,0.36,0.89,1.72,2.17,1.01,2.16,2.03,1.36,2.08,2.27,1.47,0.98,2.36,0.0,0.0,2.03,2.5,0.9,0.0,3.56,1.08,1.35,1.68,3.18,3.68,2.47,0.0,2.19,0.0,0.0,0.0,2.7,0.0,0.0,0.0,2.7,0.0,0.83,1.35,1.09
