,Clouds,Clear,Mist,Rain,Snow,Drizzle,Haze,Thunderstorm,Fog,Smoke,Squall,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,thunderstorm with drizzle,freezing rain,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,haze_2,fog_1,proximity thunderstorm with rain_0,heavy snow_3,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,very heavy rain_0,heavy intensity rain_1,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,haze_8,snow_1,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,shower drizzle_0,light rain and snow_0,scattered clouds_4,haze_6,mist_7,heavy intensity drizzle_1,SQUALLS_0,sleet_0,few clouds_3,thunderstorm with rain_1,proximity thunderstorm with rain_1,freezing rain_0,thunderstorm with drizzle_0,drizzle_2,sky is clear_1,proximity shower rain_1,light intensity drizzle_1,light rain_3,snow_2,shower snow_0,proximity thunderstorm_3,heavy intensity rain_3
Clouds,7.36,0.68,0.19,0.34,0.34,0.21,0.35,0.23,0.08,0.24,0.16,0.73,0.19,2.65,2.78,2.21,0.4,2.03,0.35,0.47,0.17,0.35,0.24,0.08,0.24,0.12,0.35,0.11,0.06,0.38,0.18,0.04,0.07,0.17,0.1,0.1,0.24,0.07,0.03,0.0,0.18,0.26,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.68,0.16,1.99,0.35,2.7,0.17,1.58,2.7,2.29,1.63,0.24,0.31,0.68,2.16,0.29,2.39,2.05,0.08,3.01,0.39,0.38,2.91,0.12,0.24,1.4,2.66,0.1,2.77,0.27,0.51,0.28,0.49,3.08,0.44,0.05,0.3,3.08,0.14,0.4,0.57,0.38,0.18,0.18,0.18,0.26,0.55,0.07,3.14,0.11,0.04,0.17,0.99,0.12,0.1,0.85,0.18,0.64,0.11,0.2,0.3,0.39,0.34,0.0,0.24,0.07,0.33,0.35,0.0,0.03,0.0,0.18,0.0,0.0,0.13,0.26,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear,0.59,11.51,0.12,0.14,0.11,0.05,0.33,0.15,0.13,0.27,0.36,6.47,0.12,0.24,0.54,1.05,0.17,1.27,0.13,3.05,0.06,0.33,0.07,0.13,0.16,0.03,0.05,0.07,0.02,0.05,0.09,0.0,0.09,0.12,0.01,0.08,0.27,0.34,0.0,0.0,0.07,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,11.51,0.1,0.74,0.15,0.35,0.06,0.41,0.14,0.19,1.26,0.07,0.31,0.29,1.05,0.1,0.78,0.98,0.13,0.08,0.34,0.24,0.18,0.03,0.15,1.75,0.57,0.07,0.47,0.04,0.21,0.15,0.21,0.06,0.11,0.02,0.18,0.04,0.02,0.12,0.52,0.05,0.04,0.09,0.0,0.29,0.09,0.09,0.06,0.0,0.0,0.12,0.32,0.16,0.01,0.05,0.14,0.05,0.09,0.52,0.11,0.26,0.1,0.25,0.27,0.34,0.0,0.27,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.2,2.7,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mist,0.21,0.21,12.76,1.89,2.24,2.32,2.57,1.55,4.02,0.46,1.62,0.24,12.76,0.43,0.2,0.18,1.71,0.14,2.02,0.16,2.0,2.57,2.13,4.02,1.5,2.33,2.32,2.21,2.86,1.35,1.52,2.58,1.96,1.82,1.73,1.9,0.46,2.07,2.46,2.13,1.09,1.09,2.32,1.71,1.62,2.03,2.86,1.62,4.05,0.21,5.0,0.27,2.07,0.13,2.07,0.67,0.26,0.44,0.28,2.13,2.74,0.54,0.11,2.64,0.04,0.18,4.01,0.1,3.61,4.95,0.2,2.31,1.58,0.22,0.0,2.27,0.0,2.63,1.58,5.59,0.49,0.05,0.22,2.87,0.34,0.0,0.48,6.13,1.37,1.35,6.57,1.52,0.0,0.82,1.57,1.96,0.0,2.33,2.55,1.82,0.36,3.15,1.69,0.86,6.74,1.3,1.86,0.84,1.01,0.2,0.66,2.58,0.46,2.07,0.99,1.2,1.05,2.46,1.22,1.09,2.13,1.8,2.37,1.09,2.32,0.0,0.0,2.32,1.71,0.0,0.0,2.03,3.68,1.62,2.03,0.0,3.04,4.05,1.62,2.86,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0
Rain,0.49,0.18,1.75,13.36,0.53,3.97,0.67,3.82,0.57,0.48,2.98,0.18,1.75,0.8,0.57,0.37,6.04,0.18,0.55,0.32,5.24,0.67,3.63,0.57,3.6,3.4,0.41,3.52,0.64,3.32,3.4,2.77,3.52,3.45,3.74,3.62,0.48,3.09,2.94,2.82,4.92,0.46,1.42,1.94,2.98,3.65,3.0,1.27,0.0,0.18,2.1,0.75,3.6,0.44,4.78,1.29,0.42,0.71,0.48,3.63,0.7,5.15,0.23,0.75,0.31,0.37,0.57,0.2,0.75,0.41,0.16,3.38,3.67,0.18,0.09,3.39,0.06,0.47,0.22,0.38,0.18,0.03,6.95,0.63,0.03,0.13,7.34,0.08,0.56,3.32,0.31,3.4,0.0,2.51,0.26,3.52,0.0,2.97,2.78,3.45,0.28,0.43,3.75,0.0,0.16,0.11,3.63,0.89,0.0,1.24,0.69,0.77,0.48,3.09,4.64,0.0,6.33,2.94,0.0,4.92,2.82,0.0,1.06,0.46,0.0,8.51,0.0,1.42,1.94,0.0,0.0,0.0,1.55,2.98,3.65,0.0,3.19,2.83,1.27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.43,0.09,2.76,0.6,42.45,0.64,2.5,0.12,2.18,0.0,0.0,0.1,2.76,0.98,0.47,0.15,0.71,0.07,16.13,0.0,0.49,2.5,0.65,2.18,0.12,0.52,8.91,0.17,7.88,0.35,0.02,0.28,0.13,0.05,0.0,0.0,0.0,0.71,0.14,0.14,0.0,8.66,6.01,5.02,0.0,2.4,0.0,7.56,0.0,0.09,3.23,0.63,0.89,0.33,0.51,1.28,0.64,1.14,0.27,0.65,2.68,0.21,0.04,7.59,0.06,0.07,2.18,0.21,1.2,0.25,0.2,0.53,0.11,0.13,0.0,0.18,0.0,7.82,8.51,0.21,12.23,0.22,0.0,7.78,14.01,0.25,0.0,0.16,1.91,0.35,0.41,0.02,16.04,0.16,8.0,0.13,0.0,0.34,0.29,0.05,0.37,2.58,0.0,10.43,0.0,10.2,0.0,0.0,0.0,0.0,10.95,0.0,0.0,0.71,0.0,0.0,0.0,0.14,14.33,0.0,0.14,0.0,7.73,8.66,0.0,0.0,11.2,6.01,5.02,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drizzle,0.31,0.08,5.13,19.64,0.76,16.05,1.02,2.29,0.92,1.0,1.32,0.09,5.13,0.79,0.28,0.18,8.61,0.03,0.9,0.05,9.48,1.02,9.02,0.92,1.98,10.51,0.24,4.16,0.86,3.44,1.73,7.01,1.84,2.18,3.52,2.87,1.0,0.84,2.68,5.21,5.63,0.72,2.52,4.66,1.32,3.79,1.56,1.32,0.0,0.08,5.93,0.41,9.19,0.17,9.79,1.24,0.51,0.74,0.3,9.02,1.09,1.73,0.01,1.3,0.09,0.09,0.95,0.09,1.2,0.81,0.0,10.06,2.0,0.07,0.0,4.18,0.0,0.27,0.3,0.85,0.06,0.0,0.07,0.87,0.0,0.0,0.56,0.13,0.58,3.44,0.33,1.73,0.0,1.15,0.27,1.84,0.0,7.94,7.01,2.18,0.29,0.58,3.5,0.0,1.53,0.0,2.72,0.55,0.0,1.94,0.0,0.6,1.0,0.84,1.86,0.0,3.42,2.68,0.0,5.63,5.21,0.0,0.55,0.72,1.89,0.0,0.0,2.52,4.66,0.0,0.0,0.0,9.64,1.32,3.79,0.0,6.62,4.41,1.32,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haze,0.38,0.32,3.94,0.54,2.88,0.65,14.95,0.37,2.19,14.25,0.0,0.37,3.94,0.55,0.4,0.38,0.61,0.36,3.21,0.08,0.45,14.95,0.7,2.19,0.4,0.54,1.66,0.35,1.11,0.67,0.69,1.11,0.18,0.33,0.11,0.33,14.25,0.0,0.3,1.2,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,17.73,0.32,3.45,0.52,0.76,0.34,0.47,0.81,0.33,0.56,0.57,0.7,10.49,0.23,0.18,3.68,0.26,0.22,2.24,0.37,3.17,2.24,0.14,0.56,0.39,0.68,0.24,0.36,0.06,1.82,3.01,1.99,1.48,0.12,0.1,1.14,1.07,0.0,0.0,1.19,10.8,0.67,1.75,0.69,0.66,0.34,2.0,0.18,0.0,0.18,1.13,0.33,17.45,1.03,0.11,0.0,0.0,0.0,0.34,19.55,27.04,0.86,1.92,0.0,14.25,0.0,0.0,23.93,0.0,0.3,0.0,0.0,1.2,27.84,0.0,5.77,22.93,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.73,0.0,0.0
Thunderstorm,0.59,0.42,1.58,10.11,0.06,1.98,0.61,28.96,0.28,0.0,11.71,0.46,1.58,0.61,0.83,0.79,4.41,0.21,0.04,0.23,5.09,0.61,2.15,0.28,22.21,1.0,0.06,9.63,0.17,7.44,13.89,1.69,10.51,9.61,8.65,7.86,0.0,9.07,9.6,7.63,0.0,1.26,1.11,0.0,11.71,1.67,8.25,0.0,0.0,0.42,1.95,1.16,4.9,0.53,5.25,1.18,0.16,0.46,1.08,2.15,0.64,1.37,0.21,0.06,0.19,0.98,0.29,0.0,0.34,0.43,0.0,1.04,17.51,0.26,0.08,9.78,0.17,0.07,0.0,0.08,0.0,0.0,0.52,0.14,0.0,0.0,1.2,0.45,0.51,7.44,0.0,13.89,0.0,19.09,0.0,10.51,0.0,0.23,1.72,9.61,0.0,0.0,8.81,0.0,0.0,0.0,8.16,0.97,0.0,25.54,0.0,0.0,0.0,9.07,7.42,0.0,0.0,9.6,0.0,0.0,7.63,0.0,0.97,1.26,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,11.71,1.67,0.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fog,0.08,0.16,48.41,0.82,1.9,0.97,2.26,0.36,37.01,0.0,0.0,0.18,48.41,0.11,0.07,0.07,0.87,0.09,1.24,0.14,0.5,2.26,0.95,37.01,0.32,0.82,3.75,0.43,6.31,0.1,0.24,0.89,0.67,0.0,0.64,0.49,0.0,0.0,1.33,0.45,0.0,0.0,3.78,4.66,0.0,0.0,3.11,7.95,0.0,0.16,15.83,0.09,1.13,0.08,0.52,0.2,0.12,0.07,0.09,0.95,2.53,0.03,0.09,1.57,0.0,0.12,32.16,0.0,4.17,5.05,0.0,0.85,0.34,0.13,0.0,0.44,0.0,4.42,0.96,3.71,0.0,0.0,0.15,6.46,0.0,0.0,0.45,1.78,0.43,0.1,0.65,0.24,0.0,0.0,2.44,0.67,0.0,0.53,0.9,0.0,0.59,15.25,0.65,0.0,0.0,0.7,0.51,0.0,0.0,0.0,0.0,27.06,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.45,0.0,2.2,0.0,0.0,0.0,0.0,3.78,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smoke,0.22,0.19,2.01,1.51,0.0,2.3,211.82,0.0,0.84,3634.04,0.0,0.22,2.01,0.0,0.49,0.0,1.31,0.62,0.0,0.0,1.73,211.82,3.25,0.84,0.0,2.72,0.0,10.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3634.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,2.61,0.0,1.72,2.03,1.8,0.0,0.0,0.0,0.0,3.25,113.73,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,2.88,0.0,1.58,0.0,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3634.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
