,temp_6,temp_3,temp_5,temp_2,temp_4,temp_7,temp_1,temp_0,sky is clear,mist,overcast clouds,broken clouds,scattered clouds,light rain,few clouds,light snow,Sky is Clear,moderate rain,haze,light intensity drizzle,fog,proximity thunderstorm,drizzle,heavy snow,heavy intensity rain,snow,proximity shower rain,thunderstorm,heavy intensity drizzle,thunderstorm with heavy rain,thunderstorm with light rain,proximity thunderstorm with rain,thunderstorm with rain,smoke,very heavy rain,thunderstorm with light drizzle,proximity thunderstorm with drizzle,light intensity shower rain,light shower snow,shower drizzle,light rain and snow,SQUALLS,sleet,freezing rain,thunderstorm with drizzle,shower snow,sky is clear_0,mist_0,broken clouds_0,light rain_0,broken clouds_1,moderate rain_0,overcast clouds_0,overcast clouds_2,overcast clouds_1,scattered clouds_0,light intensity drizzle_0,haze_0,light rain_1,few clouds_1,light snow_0,scattered clouds_2,scattered clouds_1,fog_0,overcast clouds_3,mist_1,mist_2,broken clouds_2,drizzle_0,proximity thunderstorm_0,few clouds_0,scattered clouds_3,heavy intensity rain_0,few clouds_2,heavy snow_0,light snow_1,mist_3,light snow_2,overcast clouds_4,light rain_2,snow_0,light snow_3,broken clouds_3,moderate rain_1,mist_4,haze_1,proximity shower rain_0,mist_5,thunderstorm_0,light snow_4,proximity thunderstorm_1,heavy snow_1,thunderstorm with heavy rain_0,broken clouds_4,drizzle_1,heavy intensity drizzle_0,thunderstorm with light rain_0,fog_1,haze_2,heavy snow_3,proximity thunderstorm with rain_0,mist_6,heavy snow_2,thunderstorm with rain_0,haze_3,haze_7,proximity thunderstorm_2,heavy snow_4,fog_2,smoke_0,heavy intensity rain_1,very heavy rain_0,haze_4,heavy intensity rain_2,thunderstorm with light drizzle_0,heavy snow_6,light intensity shower rain_0,proximity thunderstorm with drizzle_0,snow_1,haze_8,light shower snow_0,haze_5,moderate rain_2,heavy snow_5,light rain and snow_0,shower drizzle_0,haze_6,scattered clouds_4,heavy intensity drizzle_1,SQUALLS_0,mist_7,sleet_0,thunderstorm with drizzle_0,proximity thunderstorm with rain_1,thunderstorm with rain_1,few clouds_3,freezing rain_0,snow_2,drizzle_2,light intensity drizzle_1,proximity thunderstorm_3,proximity shower rain_1,heavy intensity rain_3,light rain_3,shower snow_0,sky is clear_1,traffic_volume_2,traffic_volume_0,traffic_volume_1
temp_6,1.39,0.24,0.85,0,0.58,1.07,0,0,1.06,0.98,0.8,0.99,1.01,1.14,0.82,0,0.61,1.05,0.69,0.87,0.59,1.03,0.7,0,1.01,0,0.58,0.77,0.5,0.68,0.59,0.51,0.6,0.26,0.5,0.48,0.47,0.32,0,0,0,0.33,0,0,0.47,0,1.1,0.96,0.92,1.11,0.68,1.06,0.79,0.26,0.48,0.9,0.87,0.69,0.73,0.65,0,0.59,0.65,0.59,0.2,0.54,0.49,0.3,0.7,1.03,0.67,0.45,1.01,0.4,0,0,0.28,0,0,0.37,0,0,0.1,0.31,0.24,0.3,0.58,0.0,0.77,0,0.52,0,0.68,0,0.17,0.51,0.59,0.05,0.24,0,0.52,0.03,0,0.59,0.23,0,0.24,0,0.21,0.26,0.4,0.5,0,0.05,0.48,0,0.32,0.47,0,0.22,0,0.17,0,0,0,0,0,0.0,0.18,0.33,0.04,0,0.47,0.1,0.34,0.0,0,0,0,0,0.13,0.0,0.0,0.0,0,0.0,1.18,1.05,1.29
temp_3,0.0,1.45,0.22,0.75,0.86,0,0.41,0.13,0.87,1.1,1.05,0.9,0.75,1.14,0.63,0.87,0.37,1.03,0.82,1.08,0.76,0.46,1.01,0.62,0.59,0.8,0.37,0.22,0.69,0.21,0.3,0.37,0,0,0,0.21,0.0,0.0,0.21,0.39,0.56,0.0,0.54,0.49,0.0,0.0,0.88,1.09,0.83,1.14,0.57,1.03,0.88,0.63,0.69,0.67,1.08,0.82,0.61,0.49,0.89,0.36,0.47,0.75,0.52,0.63,0.58,0.38,1.02,0.46,0.53,0.28,0.6,0.26,0.62,0.49,0.55,0.34,0.29,0.31,0.81,0.2,0.34,0.28,0.42,0.35,0.37,0.27,0.22,0.0,0.2,0.43,0.21,0.21,0.4,0.69,0.3,0.35,0.22,0.12,0.37,0.17,0.27,0,0.0,0.2,0,0.28,0.33,0,0,0,0,0.14,0.21,0,0.0,0.0,0.16,0,0.21,0.18,0.15,0,0.56,0.39,0.26,0,0,0.0,0,0.54,0.0,0,0,0,0.49,0,0.0,0,0,0,0,0,0.0,0,1.16,1.09,1.26
temp_5,1.1,0.46,1.43,0.22,0.74,0.4,0,0,1.06,1.03,0.86,0.89,0.91,1.15,0.72,0.06,0.61,1.08,0.73,0.93,0.65,0.9,0.81,0,0.99,0,0.6,0.82,0.54,0.62,0.62,0.68,0.39,0.25,0.27,0.58,0.46,0.41,0,0,0,0.07,0,0,0,0,1.1,1.01,0.82,1.13,0.59,1.08,0.8,0.43,0.6,0.8,0.93,0.72,0.75,0.57,0.0,0.56,0.56,0.64,0.21,0.62,0.62,0.29,0.81,0.89,0.59,0.36,0.99,0.38,0,0.0,0.33,0,0.22,0.31,0,0,0.0,0.44,0.19,0.4,0.6,0.16,0.82,0,0.44,0,0.62,0,0.33,0.54,0.62,0.4,0.2,0,0.68,0,0,0.39,0.13,0,0.13,0,0.11,0.25,0.24,0.27,0,0.36,0.58,0,0.41,0.46,0,0.0,0,0.0,0,0,0,0,0,0.0,0.2,0.07,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1.06,1.24,1.32
temp_2,0,0.92,0.02,1.52,0.21,0,0.75,0.3,0.96,1.1,1.1,0.93,0.79,0.64,0.62,1.06,0.3,0.37,0.89,0.54,0.88,0.33,0.21,0.87,0.0,1.0,0.11,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.28,0.31,0,0,0,0.25,0,0.09,0.95,1.06,0.87,0.63,0.51,0.35,0.87,0.68,0.71,0.77,0.54,0.88,0.33,0.47,1.01,0.32,0.49,0.89,0.56,0.72,0.57,0.48,0.16,0.34,0.54,0.17,0.0,0.27,0.86,0.77,0.49,0.5,0.39,0.3,0.99,0.36,0.26,0.21,0.28,0.48,0.11,0.42,0,0.27,0.05,0.49,0,0.25,0.0,0.0,0.0,0.35,0.2,0.39,0,0.25,0.23,0,0.23,0.23,0,0.17,0.15,0,0,0.0,0.37,0,0,0.28,0,0,0.35,0,0.28,0.0,0,0.0,0,0.31,0.0,0,0,0,0,0,0,0,0,0,0.25,0.0,0,0,0,0,0,0,0.09,0,1.11,1.23,1.33
temp_4,0.33,0.78,1.06,0.48,1.53,0.03,0.05,0,1.05,1.03,1.05,1.0,0.93,1.1,0.72,0.24,0.52,1.05,0.69,1.05,0.59,0.69,1.01,0.11,0.9,0.11,0.52,0.4,0.6,0.44,0.4,0.34,0.23,0.14,0,0.0,0.4,0.05,0,0,0,0.0,0,0,0.41,0,1.07,1.01,0.94,1.05,0.64,1.06,0.9,0.68,0.66,0.8,1.06,0.7,0.65,0.55,0.26,0.61,0.63,0.59,0.43,0.67,0.47,0.29,0.99,0.68,0.57,0.22,0.9,0.43,0.09,0.04,0.46,0.04,0.0,0.4,0.0,0,0.21,0.24,0.17,0.24,0.52,0.36,0.4,0,0.29,0.0,0.44,0.18,0.57,0.59,0.4,0.33,0.2,0,0.32,0.32,0,0,0.16,0,0.28,0,0.26,0.14,0.17,0,0,0.21,0.0,0,0.05,0.4,0.2,0,0,0,0.0,0,0,0,0,0,0.21,0.0,0.06,0,0.41,0.22,0.3,0,0,0,0,0.0,0,0,0,0,0,0,1.17,1.21,1.33
temp_7,1.22,0,0.88,0,0.34,1.59,0,0,1.23,0.79,0.79,1.2,1.28,0.88,0.93,0,0.88,0.6,0.66,0.54,0.69,0.7,0.28,0,0.4,0,0.53,0.53,0.1,0.25,0.38,0.23,0.31,0.21,0.27,0.18,0.05,0.24,0,0,0,0.0,0,0,0.06,0,1.32,0.7,1.16,0.85,0.78,0.59,0.77,0.28,0.55,1.05,0.54,0.63,0.57,0.7,0,0.8,0.88,0.71,0,0.68,0.5,0.4,0.28,0.68,0.79,0.63,0.39,0.51,0,0,0.3,0,0,0.29,0,0,0.14,0.24,0.2,0.38,0.53,0,0.53,0,0.33,0,0.25,0,0,0.1,0.38,0.0,0.14,0,0.23,0.0,0,0.33,0,0.0,0.37,0,0.09,0.21,0.1,0.27,0,0.21,0.18,0,0.24,0.05,0,0.24,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.06,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.55,0.55,1.01
temp_1,0,0.2,0,0.99,0.06,0,1.68,0.87,1.12,1.03,1.03,1.04,0.84,0.52,0.83,1.23,0.2,0.41,1.03,0.23,0.75,0.23,0.0,0.88,0.28,0.87,0,0,0,0,0,0,0,0,0.31,0,0,0,0.44,0.23,0,0,0,0,0,0,1.11,1.03,0.88,0.53,0.73,0.37,0.87,0.58,0.63,0.79,0.23,1.02,0.27,0.65,1.08,0.37,0.55,0.76,0.44,0.61,0.45,0.5,0.0,0.23,0.75,0.29,0.29,0.32,0.84,0.94,0.24,0.78,0.44,0.0,0.86,0.65,0.44,0.29,0.2,0.43,0,0.22,0,0.54,0,0.6,0,0.27,0,0,0,0.28,0.41,0.36,0,0.24,0.54,0,0.26,0.0,0,0.29,0,0,0,0.31,0.19,0,0,0.18,0,0,0.47,0,0.44,0.35,0,0.36,0,0.23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,1.28,1.4
temp_0,0,0.29,0,0.19,0,0,1.09,1.89,1.47,0.76,0.91,1.1,1.04,0.29,0.9,1.03,0.13,0.0,0.99,0,0.32,0.06,0,0.38,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0.74,0.96,0.28,0.72,0.0,0.69,0.46,0.58,0.93,0,0.96,0.17,0.66,0.97,0.59,0.62,0.32,0.49,0.39,0.36,0.68,0,0.06,0.84,0.45,0,0.22,0.31,0.81,0,0.62,0.52,0,0.55,0.63,0,0,0,0.7,0,0,0,0.0,0,0.16,0,0,0,0,0,0,0.36,0.0,0,0,0.22,0,0.17,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,1.49,1.53
sky is clear,0.89,0.69,0.85,0.69,0.77,0.8,0.68,0.65,1.31,0.51,0.59,0.8,0.96,0.53,0.83,0.42,0.37,0.33,0.58,0.33,0.35,0.37,0.19,0.21,0.28,0.14,0.22,0.19,0.08,0.21,0.17,0.1,0.16,0.16,0.16,0.08,0.0,0.06,0.08,0,0,0.17,0,0,0.0,0.0,1.3,0.47,0.8,0.5,0.43,0.33,0.55,0.29,0.33,0.87,0.33,0.56,0.35,0.59,0.35,0.52,0.61,0.35,0.21,0.37,0.3,0.25,0.2,0.36,0.78,0.37,0.28,0.26,0.15,0.28,0.15,0.28,0.14,0.07,0.15,0.31,0.05,0.09,0.1,0.29,0.22,0.06,0.19,0.03,0.17,0.21,0.21,0.0,0.04,0.05,0.17,0.14,0.22,0.11,0.1,0.09,0.13,0.17,0.2,0.06,0.12,0.06,0.12,0.16,0.0,0.16,0.09,0.0,0.08,0,0.06,0.0,0.0,0.0,0.08,0.04,0,0.0,0,0,0.0,0,0.0,0.17,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.04,1.01,1.19
mist,0.88,0.94,0.88,0.87,0.76,0.52,0.66,0.38,0.87,1.5,0.84,0.66,0.59,1.24,0.4,0.92,0.29,1.2,1.04,1.14,1.07,0.96,1.06,0.73,1.1,0.94,0.58,0.81,0.75,0.65,0.69,0.58,0.48,0.09,0.44,0.54,0.54,0.0,0.27,0.34,0.41,0.17,0.29,0.32,0.37,0.1,0.86,1.43,0.61,1.27,0.38,1.21,0.79,0.41,0.53,0.57,1.14,1.05,0.59,0.33,0.96,0.25,0.4,1.07,0.19,0.95,0.92,0.3,1.06,0.97,0.37,0.1,1.11,0.05,0.76,0.64,0.71,0.31,0.07,0.24,0.94,0.21,0.05,0.32,0.51,0.42,0.58,0.5,0.81,0.05,0.41,0.42,0.65,0,0.45,0.74,0.69,0.44,0.15,0.22,0.58,0.33,0.26,0.47,0.22,0.22,0.22,0.17,0.25,0.09,0.33,0.44,0.27,0.23,0.54,0.23,0.0,0.54,0.31,0.16,0.27,0.27,0,0.0,0.41,0.34,0.06,0.0,0.25,0.17,0.06,0.29,0.37,0.17,0.25,0,0.32,0.0,0.0,0,0.0,0,0,0,0.1,0,1.05,1.45,1.47
